prim_lang_desc,acct_sts_cd,acct_sts_desc,acct_create_dt,acct_frst_actv_dt,acct_lst_discnt_dt,acct_lst_rcnt_dt,dtv_frst_actv_dt,dtv_actv_ind,blng_pmt_mthd_desc,blng_type_desc,rc1_acct_ind,dtv_lst_discnt_dt,dtv_lst_rcnt_dt,dtv_base_pkg_prd_cd,dtv_prev_bal_amt,dtv_lst_bl_bal_due_amt,dtv_lst_bl_pmt_mthd_cd,dtv_lst_bl_pmt_mthd_desc,contrct_type_cd,lst_cntrct_expr_dt,lst_cntrct_dur_in_mnth,cmbnd_bl_ind
English,A,Active,7/15/2006,7/22/2006,1/1/1900,1/1/1900,7/15/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,5/4/2016,88834864,246.93,246.93,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,9/7/2006,9/11/2006,1/1/1900,1/1/1900,9/7/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,9/19/2015,89336994,134.77,128.36,8,Cash Payment,B,1/8/2020,24,?
English,A,Active,12/14/2006,12/19/2006,1/1/1900,1/1/1900,12/14/2006,Y,Credit Card Payment,EBILL STMT,Y,1/1/1900,9/15/2017,89336964,140.39,135.18,2,Credit Card Payment,B,9/14/2019,24,?
English,A,Active,4/20/2006,4/21/2006,1/1/1900,1/1/1900,4/21/2006,Y,True Credit Card,PAPER STMT,Y,1/1/1900,1/1/1900,89337264,126.72,126.72,E,True Credit Card,?,1/1/1900,0,?
English,A,Active,10/14/2003,10/17/2003,1/1/1900,1/1/1900,4/18/2006,Y,True Credit Card,PAPER STMT,Y,1/1/1900,1/1/1900,88834854,291.88,399.36,E,True Credit Card,?,1/1/1900,0,?
English,A,Active,5/25/2006,5/27/2006,1/1/1900,1/1/1900,5/25/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,6/27/2013,88834854,859.32,543.71,8,Cash Payment,B,1/20/2021,24,?
English,A,Active,8/11/2006,12/27/2016,1/1/1900,1/1/1900,8/11/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,11/6/2015,89336964,140.46,140.46,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,8/30/2006,9/7/2006,1/1/1900,1/1/1900,8/30/2006,Y,True Credit Card,EBILL STMT,Y,1/1/1900,2/8/2018,88834874,140.9,144.83,E,True Credit Card,B,2/7/2020,24,?
English,A,Active,3/22/2006,7/8/2017,1/1/1900,1/1/1900,3/22/2006,Y,True Credit Card,EBILL STMT,Y,1/1/1900,7/8/2017,88834044,90.8,90.8,E,True Credit Card,B,7/7/2019,24,?
English,A,Active,10/19/2006,10/23/2006,1/1/1900,1/1/1900,10/19/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,8/24/2014,89337034,165.92,210.66,8,Cash Payment,B,9/12/2019,24,?
English,A,Active,6/19/2006,7/10/2006,1/1/1900,1/1/1900,6/19/2006,Y,True Credit Card,EBILL STMT,Y,1/1/1900,6/30/2014,89336964,147.96,147.96,E,True Credit Card,?,1/1/1900,0,?
English,A,Active,6/16/2006,6/26/2015,1/1/1900,1/1/1900,6/16/2006,Y,Credit Card Payment,PAPER STMT,Y,1/1/1900,2/1/2016,88834864,160.15,160.15,2,Credit Card Payment,?,1/1/1900,0,?
English,A,Active,7/15/2006,7/24/2012,1/1/1900,1/1/1900,7/15/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,10/22/2017,88834874,259.83,230.57,8,Cash Payment,B,10/21/2019,24,?
English,A,Active,2/21/2006,2/24/2006,1/1/1900,1/1/1900,2/24/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,1/1/1900,89336964,137.25,137.25,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,9/7/2006,9/13/2006,1/1/1900,1/1/1900,9/7/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,8/11/2018,88834864,45.68,123.18,8,Cash Payment,B,11/26/2019,24,?
English,A,Active,8/17/2006,8/26/2006,1/1/1900,1/1/1900,8/17/2006,Y,True Credit Card,EBILL STMT,Y,1/1/1900,6/24/2015,88834874,78.65,80.33,E,True Credit Card,B,5/4/2021,24,?
English,A,Active,8/24/2006,8/25/2006,1/1/1900,1/1/1900,8/24/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,8/2/2016,88834054,195.06,250.06,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,9/5/2006,9/11/2006,1/1/1900,1/1/1900,9/5/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,10/16/2016,88834854,410.48,410.48,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,6/17/2006,6/28/2006,1/1/1900,1/1/1900,6/17/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,1/26/2019,89336964,322.29,126.9,8,Cash Payment,B,12/25/2020,24,?
English,A,Active,9/19/2006,9/20/2006,1/1/1900,1/1/1900,9/19/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,8/26/2017,88834854,596.38,595.57,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,1/18/2006,1/26/2006,1/1/1900,1/1/1900,1/18/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,1/8/2018,88834854,172.11,173.82,8,Cash Payment,B,1/7/2020,24,?
English,A,Active,1/5/2006,1/12/2006,1/1/1900,1/1/1900,1/5/2006,Y,Direct Pay,PAPER STMT,Y,1/1/1900,1/26/2019,89336964,120.54,123.57,6,Direct Pay,B,1/25/2021,24,?
English,A,Active,1/20/2006,1/22/2006,1/1/1900,1/1/1900,1/20/2006,Y,Cash Payment,PAPER STMT,Y,1/1/1900,10/24/2018,88834874,139.36,42.04,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,4/5/2006,4/8/2006,1/1/1900,1/1/1900,4/5/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,7/18/2014,89336964,191.71,92.71,8,Cash Payment,B,6/15/2019,24,?
English,A,Active,11/14/2006,11/16/2006,1/1/1900,1/1/1900,11/14/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,9/20/2014,88834874,131.91,127.66,8,Cash Payment,?,1/1/1900,0,?
English,A,Active,1/6/2006,1/9/2006,1/1/1900,1/1/1900,1/6/2006,Y,Cash Payment,EBILL STMT,Y,1/1/1900,3/4/2019,88834864,102.98,188.49,8,Cash Payment,B,3/3/2021,24,?
English,A,Active,11/20/2006,1/21/2016,1/1/1900,1/1/1900,11/20/2006,Y,True Credit Card,EBILL STMT,Y,1/1/1900,1/21/2016,88834864,149.73,213.42,E,True Credit Card,?,1/1/1900,0,?
English,A,Active,8/10/2006,8/24/2006,1/1/1900,1/1/1900,8/10/2006,Y,True Credit Card,EBILL STMT,Y,1/1/1900,2/24/2011,88834874,202.74,202.74,E,True Credit Card,?,1/1/1900,0,?
English,A,Active,10/19/2006,11/13/2006,1/1/1900,1/1/1900,10/19/2006,Y,Credit Card Payment,EBILL STMT,Y,1/1/1900,3/31/2014,88834054,174.37,180.36,2,Credit Card Payment,?,1/1/1900,0,?
